"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",1537.26743653194
"2","member","Sunday",804.635660824838
"3","casual","Monday",1332.40097139492
"4","member","Monday",694.630950049968
"5","casual","Tuesday",1221.01946763704
"6","member","Tuesday",695.602114110111
"7","casual","Wednesday",1148.93126150178
"8","member","Wednesday",692.337098058849
"9","casual","Thursday",1185.88922990021
"10","member","Thursday",696.698043631566
"11","casual","Friday",1310.55507534645
"12","member","Friday",717.677158696097
"13","casual","Saturday",1518.12022044375
"14","member","Saturday",814.675148020418
